Search number,Query,Sort By,Filters,Search Details,Results,Time
29,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract]) NOT (""tutorial"")",,,"((((""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND ""models, statistical""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]) NOT ""tutorial""[All Fields]","18,134",11:16:16
17,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract])",,,"(((""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND ""models, statistical""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]","18,167",11:10:46
28,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh] OR ""Statistics""[Publication Type]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract])",,,"(((""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND ""models, statistical""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]","18,167",11:09:09
27,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh] AND ""Statistics""[Publication Type]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract])",,,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh] AND ""Statistics""[Publication Type]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract])",0,11:08:23
26,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh] AND ""Statistics""[Publication Type]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract]) - Schema: all",,,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh] AND ""Statistics""[Publication Type]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract])",0,11:08:23
25,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh] AND ""Statistics as Topic/methods""[Mesh] ) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract])",,,"(((""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND (""models, statistical""[MeSH Terms] AND ""statistics as topic/methods""[MeSH Terms])) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]",459,11:05:14
24,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) OR (""Models, Statistical""[Mesh] OR ""Longitudinal Studies/statistics and numerical data""[Mesh]) NOT (""Review""[Publication Type] OR ""Meta Analys*""[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract])",,,"((""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract] OR (""models, statistical""[MeSH Terms] OR ""longitudinal studies/statistics and numerical data""[MeSH Terms])) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]","680,096",11:01:44
23,"Search: (""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh] OR ""Longitudinal Studies/statistics and numerical data""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract])",,,"(((""search""[All Fields] OR ""searched""[All Fields] OR ""searches""[All Fields] OR ""searching""[All Fields] OR ""searchs""[All Fields]) AND (""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND (""models, statistical""[MeSH Terms] OR ""longitudinal studies/statistics and numerical data""[MeSH Terms])) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]",89,10:49:07
22,"Search: (""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh]  AND ""Longitudinal Studies/statistics and numerical data""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract])",,,"(((""search""[All Fields] OR ""searched""[All Fields] OR ""searches""[All Fields] OR ""searching""[All Fields] OR ""searchs""[All Fields]) AND (""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND (""models, statistical""[MeSH Terms] AND ""longitudinal studies/statistics and numerical data""[MeSH Terms])) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]",0,10:48:33
21,"Search: (""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh] AND ""Longitudinal Studies/statistics and numerical data""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract]) - Schema: all",,,"((""Search""[All Fields] AND (""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND (""models, statistical""[MeSH Terms] AND ""longitudinal studies/statistics and numerical data""[MeSH Terms])) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]",0,10:48:33
20,"Search: (""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh] AND ""Longitudinal Studies/methods""[Mesh] AND ""Longitudinal Studies/statistics and numerical data""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract])",,,"(((""search""[All Fields] OR ""searched""[All Fields] OR ""searches""[All Fields] OR ""searching""[All Fields] OR ""searchs""[All Fields]) AND (""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND (""models, statistical""[MeSH Terms] AND ""longitudinal studies/methods""[MeSH Terms] AND ""longitudinal studies/statistics and numerical data""[MeSH Terms])) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]",0,10:47:59
19,"Search: (""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh] AND ""Longitudinal Studies/methods""[Mesh] AND ""Longitudinal Studies/statistics and numerical data""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract]) - Schema: all",,,"((""Search""[All Fields] AND (""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND (""models, statistical""[MeSH Terms] AND ""longitudinal studies/methods""[MeSH Terms] AND ""longitudinal studies/statistics and numerical data""[MeSH Terms])) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]",0,10:47:59
18,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh] AND ""Longitudinal Studies/methods""[Mesh] OR ""Longitudinal Studies/statistics and numerical data""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type]) NOT (""survival""[Title/abstract])",,,"(((""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND ((""models, statistical""[MeSH Terms] AND ""longitudinal studies/methods""[MeSH Terms]) OR ""longitudinal studies/statistics and numerical data""[MeSH Terms])) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])) NOT ""survival""[Title/Abstract]",122,10:38:51
16,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type] OR ""editorial""[Publication Type])",,,"((""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND ""models, statistical""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type] OR ""editorial""[Publication Type])","19,700",10:27:10
15,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Models, Statistical""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type])",,,"((""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND ""models, statistical""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type])","19,713",10:26:21
14,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Longitudinal Studies/methods""[Mesh] OR ""Longitudinal Studies/statistics and numerical data""[Mesh]) AND (""Models, Statistical""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type])",,,"((""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND (""longitudinal studies/methods""[MeSH Terms] OR ""longitudinal studies/statistics and numerical data""[MeSH Terms]) AND ""models, statistical""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type])",114,10:25:57
13,"(""Longitudinal""[title/abstract] OR ""repeated meas*""[title/abstract]) AND (""Longitudinal Studies/methods""[Mesh] AND ""Longitudinal Studies/statistics and numerical data""[Mesh]) AND (""Models, Statistical""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type])",,,"((""Longitudinal""[Title/Abstract] OR ""repeated meas*""[Title/Abstract]) AND (""longitudinal studies/methods""[MeSH Terms] AND ""longitudinal studies/statistics and numerical data""[MeSH Terms]) AND ""models, statistical""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type])",7,10:25:25
12,"(""Longitudinal Studies/methods""[Mesh]) AND (""Models, Statistical""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type])",,,"(""longitudinal studies/methods""[MeSH Terms] AND ""models, statistical""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type])",65,10:23:53
11,"(""Longitudinal Studies/methods""[Mesh] AND (""Models, Statistical""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type])",,,"(""longitudinal studies/methods""[MeSH Terms] AND ""models, statistical""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type])",65,10:23:29
10,"(""Longitudinal Studies/methods""[Mesh] AND ""Longitudinal Studies/statistics and numerical data""[Mesh]) AND (""Models, Statistical""[Mesh]) NOT (Review[Publication Type] OR Meta Analys*[Publication Type])",,,"(""longitudinal studies/methods""[MeSH Terms] AND ""longitudinal studies/statistics and numerical data""[MeSH Terms] AND ""models, statistical""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type])",7,10:23:04
9,"(""Longitudinal Studies/methods""[Mesh] AND ""Longitudinal Studies/statistics and numerical data""[Mesh]) AND (""Models, Statistical""[Mesh]) AND (""longitudinal""[title/abstract] OR ""repeated measures""[title/abstract] ) NOT (Review[Publication Type] OR Meta Analys*[Publication Type])",,,"(""longitudinal studies/methods""[MeSH Terms] AND ""longitudinal studies/statistics and numerical data""[MeSH Terms] AND ""models, statistical""[MeSH Terms] AND (""longitudinal""[Title/Abstract] OR ""repeated measures""[Title/Abstract])) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type])",6,10:22:48
8,"(""Longitudinal Studies/methods""[Mesh] AND ""Longitudinal Studies/statistics and numerical data""[Mesh]) AND (""statistics and numerical data""[Subheading]) AND (""longitudinal""[title/abstract] OR ""repeated measures""[title/abstract] ) NOT (Review[Publication Type] OR Meta Analys*[Publication Type])",,,"(""longitudinal studies/methods""[MeSH Terms] AND ""longitudinal studies/statistics and numerical data""[MeSH Terms] AND ""statistics and numerical data""[MeSH Subheading] AND (""longitudinal""[Title/Abstract] OR ""repeated measures""[Title/Abstract])) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type])",12,10:21:49
7,"( ""Longitudinal Studies/methods""[Mesh] AND ""Longitudinal Studies/statistics and numerical data""[Mesh]) AND (""statistics and numerical data"")[Subheading]) OR (""longitudinal""[title/abstract] OR ""repeated measures""[title/abstract] ) NOT (Review[Publication Type] OR Meta Analys*[Publication Type])",,,"((""longitudinal studies/methods""[MeSH Terms] AND ""longitudinal studies/statistics and numerical data""[MeSH Terms] AND ""statistics and numerical data""[All Fields]) OR (""longitudinal""[Title/Abstract] OR ""repeated measures""[Title/Abstract])) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type])","321,922",10:20:58
6,"( ""Longitudinal Studies/methods""[Mesh] AND ""Longitudinal Studies/statistics and numerical data""[Mesh] OR ""longitudinal""[title/abstract] OR ""repeated measures""[title/abstract] ) NOT (Review[Publication Type] OR Meta Analys*[Publication Type])",,,"((""longitudinal studies/methods""[MeSH Terms] AND ""longitudinal studies/statistics and numerical data""[MeSH Terms]) OR ""longitudinal""[Title/Abstract] OR ""repeated measures""[Title/Abstract]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type])","321,922",10:19:09
4,"( ""Longitudinal Studies/methods""[Mesh] OR ""Longitudinal Studies/statistics and numerical data""[Mesh] OR ""longitudinal""[title/abstract] OR ""repeated measures""[title/abstract] ) NOT (Review[Publication Type] OR Meta Analys*[Publication Type])",,,"(""longitudinal studies/methods""[MeSH Terms] OR ""longitudinal studies/statistics and numerical data""[MeSH Terms] OR ""longitudinal""[Title/Abstract] OR ""repeated measures""[Title/Abstract]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type])","321,967",10:18:49
5,"( ""Longitudinal Studies/methods""[Mesh] OR ""Longitudinal Studies/statistics and numerical data""[Mesh] OR ""longitudinal""[title/abstract] OR ""repeated measures""[title/abstract] ) NOT (Review[Publication Type] OR Meta Analys*[Publication Type])",,from 2000 - 2023,"((""longitudinal studies/methods""[MeSH Terms] OR ""longitudinal studies/statistics and numerical data""[MeSH Terms] OR ""longitudinal""[Title/Abstract] OR ""repeated measures""[Title/Abstract]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type])) AND (2000:2023[pdat])","277,031",10:15:19
3,"( ""Longitudinal Studies/methods""[Mesh] OR ""Longitudinal Studies/statistics and numerical data""[Mesh] ) NOT (Review[Publication Type] OR Meta Analys*[Publication Type])",,,"(""longitudinal studies/methods""[MeSH Terms] OR ""longitudinal studies/statistics and numerical data""[MeSH Terms]) NOT (""Review""[Publication Type] OR ""meta analys*""[Publication Type])",243,09:59:10
2,"( ""Longitudinal Studies/methods""[Mesh] OR ""Longitudinal Studies/statistics and numerical data""[Mesh] ) NOT (Review[Publication Type Type] OR Meta Analys*[Publication Type])",,,"(""longitudinal studies/methods""[MeSH Terms] OR ""longitudinal studies/statistics and numerical data""[MeSH Terms]) NOT (""review""[Publication Type] OR ""review literature as topic""[MeSH Terms] OR ""review""[All Fields] OR ""meta analys*""[Publication Type])",233,09:58:58
1,"( ""Statistics as Topic/methods""[Mesh] OR ""Statistics as Topic/statistics and numerical data""[Mesh] ) AND (""longitudinal data""[Title/Abstract] OR ""longitudinal study""[Title/Abstract] OR ""repeated measures""[Title/Abstract]) NOT(review[Title/Abstract] OR meta analy*)",,,"((""statistics as topic/methods""[MeSH Terms] OR ""statistics as topic/statistics and numerical data""[MeSH Terms]) AND (""longitudinal data""[Title/Abstract] OR ""longitudinal study""[Title/Abstract] OR ""repeated measures""[Title/Abstract])) NOT (""review""[Title/Abstract] OR ((""meta""[Journal] OR ""meta""[All Fields]) AND ""analy*""[All Fields]))",689,09:55:08
